8/1/2026,25,10,FACTURE 2600027    /25A0351,8/1/2026,2600027,8/1/2026,!,"227241,5",,!,,,
12/1/2026,48,10,AVOIR   2600062    /25A0351,9/1/2026,2600062,10/3/2026,!,,"108831,78",!,,,
12/1/2026,49,10,AVOIR   2600065    /25A0382,9/1/2026,2600065,10/3/2026,!,,"108831,78",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"1481889,5","63757014,34",!,,62275124,","
Compte :,411000,,00360       LA LIGNE SCANDINAVE,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
12/1/2026,32,10,FACTURE 2600056    /25F0207,9/1/2026,2600056,24/1/2026,!,"2497650,29",,!,,,
12/1/2026,33,10,FACTURE 2600058    /25F0210,9/1/2026,2600058,24/1/2026,!,"981722,69",,!,,,
12/1/2026,37,10,FACTURE 2600057    /25F0208,9/1/2026,2600057,24/1/2026,!,"1025499,74",,!,,,
13/1/2026,63,10,FACTURE 2600061    /25F0217,9/1/2026,2600061,24/1/2026,!,"2360484,24",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"6865356,96",,!,"6865356,96",,
Compte :,411000,,00365       AURLAC S.A,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
12/1/2026,30,10,FACTURE 2600069    /25F0209,12/1/2026,2600069,13/3/2026,!,"19313013,25",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"19313013,25",,!,"19313013,25",,
Compte :,411000,,00392       SINO MALAGASY,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
8/1/2026,11,10,FACTURE 2600009    /25B0281,7/1/2026,2600009,31/12/2025,!,"7353678,86",,!,,,
8/1/2026,14,10,FACTURE 2600010    /25B0293,7/1/2026,2600010,31/12/2025,!,"6596683,83",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"13950362,69",,!,"13950362,69",,
Compte :,411000,,00419       COMACAT,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
5/1/2026,8500001,85,CHQ PTF COMACAT,5/1/2026,,4/2/2026,!,,"9374433,35",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,"9374433,35",!,,9374433,","
Compte :,411000,,00633       NEWPACK S.A,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
5/1/2026,5520001,55,VRMNT RECU NEW PACK,5/1/2026,,4/2/2026,!,,"3219420,07",!,,,
13/1/2026,60,10,FACTURE 2600053    /25C1466,9/1/2026,2600053,8/2/2026,!,"17338840,41",,!,,,
12/1/2026,5520003,55,VRMNT RECU NEW PACK,12/1/2026,,11/2/2026,!,,"10048989,23",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"17338840,41","13268409,3",!,"4070431,11",,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
ET468,,,,G R A,N D - L I,V R E,,A U X I L I,A I R E,,le 14/01/26,… 17:03:0,0
TRANSIT,TRANSPOR,T ET,TRRAT,-----,----------,--------,-,--------------,-------,,P,age :   000,3
PERIODE,DE   1/2,6 …,déc.-26,,,,,,,,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
Date,,Cod,e,Date,,Date,!,,,!,,Nø lettrag,e
